1,2,3,4,5,6,7,8,9,10,11,12
yogurt,toilet paper,soda,cereals,sandwich loaves,laundry detergent,individual meals,ice cream,juice,ketchup,sandwich loaves,pork
pork,shampoo,pork,juice,pasta,toilet paper,paper towels,juice,poultry,coffee/tea,ice cream,tortillas
sandwich bags,hand soap,soap,lunch meat,tortillas,eggs,tortillas,paper towels,coffee/tea,toilet paper,soda,shampoo
lunch meat,waffles,ice cream,soda,mixes,vegetables,vegetables,waffles,dishwashing liquid/detergent,pork,bagels,lunch meat
all- purpose,vegetables,toilet paper,toilet paper,hand soap,bagels,milk,soda,,flour,dishwashing liquid/detergent,pasta
flour,cheeses,dinner rolls,all- purpose,toilet paper,dishwashing liquid/detergent,ice cream,cheeses,,milk,eggs,juice
soda,mixes,hand soap,milk,vegetables,cereals,juice,poultry,,soda,sugar,bagels
butter,milk,spaghetti sauce,,paper towels,paper towels,dishwashing liquid/detergent,toilet paper,,dishwashing liquid/detergent,waffles,vegetables
vegetables,sandwich bags,milk,,flour,butter,soap,vegetables,,eggs,individual meals,laundry detergent
beef,laundry detergent,ketchup,,pork,shampoo,sandwich bags,,,tortillas,toilet paper,yogurt
aluminum foil,dishwashing liquid/detergent,sandwich loaves,,poultry,soap,pasta,,,vegetables,pasta,sugar
dinner rolls,individual meals,poultry,,eggs,pasta,ketchup,,,fruits,cheeses,waffles
shampoo,yogurt,vegetables,vegetables,spaghetti sauce,coffee/tea,all- purpose,,,sugar,vegetables,hand soap
mixes,cereals,laundry detergent,,milk,poultry,yogurt,,,soap,hand soap,butter
soap,aluminum foil,bagels,,waffles,aluminum foil,mixes,,,juice,ketchup,spaghetti sauce
laundry detergent,tortillas,shampoo,,individual meals,spaghetti sauce,toilet paper,poultry,,sandwich loaves,poultry,flour
ice cream,,lunch meat,,dinner rolls,ketchup,beef,milk,milk,poultry,dinner rolls,
